name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m

cube:
0 0 2000
1100 -1900 0

areas:
50 1100 -1900 0

coords:
0.000   -> 0 0 2000
0.005   -> 0.125 0.0 2000.0
0.010   -> 0.2499730969231193 0.0 1999.9997825219118
0.015   -> 0.37491928040823824 8.181048428010641e-07 1999.9993585736288
0.020   -> 0.49983881859029783 2.455817361635944e-06 1999.9987330096792
0.025   -> 0.6247319692300976 4.914186218129147e-06 1999.9979107079748
0.030   -> 0.749598978585791 8.19374297389791e-06 1999.99689656906
0.035   -> 0.8744400802810103 1.2294440548189645e-05 1999.9956955152938
0.040   -> 0.9992554941710444 1.721559307186292e-05 1999.9943124899607
0.045   -> 1.1240454252086591 2.2955817152665093e-05 1999.992752456308
0.050   -> 1.2488100623113016 2.9512974571452146e-05 1999.9910203965053
0.055   -> 1.3735495772316046 3.688411643369242e-05 1999.9891213105273
0.060   -> 1.498264123433267 4.506542880528044e-05 1999.9870602149515
0.065   -> 1.6229538349745625 5.405217986635104e-05 1999.9848421416739
0.070   -> 1.7476188254018963 6.383866862141462e-05 1999.9824721365358
0.075   -> 1.8722591866560006 7.441817520866861e-05 1999.9799552578627
0.080   -> 1.9968749879935304 8.578291285582172e-05 1999.977296574912
0.085   -> 2.121466274926988 9.792398153409275e-05 1999.9745011662274
0.090   -> 2.2460330681860645 0.00011083132336625703 1999.9715741178993
0.095   -> 2.3705753627036468 0.0001244936798486276 1999.9685205217304
0.100   -> 2.4950931266298886 0.0001388985509506601 1999.9653454733034
0.105   -> 2.6195863003778777 0.00015403215615944615 1999.9620540699539
0.110   -> 2.744054795704568 0.0001698793975396325 1999.9586514086443
0.115   -> 2.8684984948307566 0.0001864238248822594 1999.9551425837426
0.120   -> 2.9929172496039866 0.00020364760301861675 1999.9515326847038
0.125   -> 3.117310880708334 0.0002215314813774075 1999.9478267936572
0.130   -> 3.2416791769251083 0.00024005476586525117 1999.9440299829
0.135   -> 3.3660218944485245 0.00025919529315183694 1999.9401473122996
0.140   -> 3.490338756260425 0.0002789294074417524 1999.9361838266072
0.145   -> 3.614629451568117 0.0002992319398151889 1999.932144552687
0.150   -> 3.738893635309344 0.00032007619021927195 1999.9280344966621
0.155   -> 3.8631309277283394 0.0003414339121906675 1999.9238586409847
0.160   -> 3.987340914026806 0.0003632753003883406 1999.9196219414341
0.165   -> 4.1115231440935105 0.0003855689810128447 1999.9153293240468
0.170   -> 4.2356771323160185 0.00040828200518529126 1999.9109856819873
0.175   -> 4.359802357477866 0.00043137984535515227 1999.9065958723659
0.180   -> 4.483898262744204 0.0004548263948012794 1999.9021647130087
0.185   -> 4.607964255738676 0.00047858397028497317 1999.8976969791906
0.190   -> 4.731999708713926 0.0005026133179075929 1999.8931974003392
0.195   -> 4.856003958817776 0.0005268736222181021 1999.888670656717
0.200   -> 4.979976308456711 0.0005513225186080819 1999.8841213760945
0.205   -> 5.103916025757824 0.0005759161090231618 1999.8795541304205
0.210   -> 5.2278223451299395 0.0006006089810105635 1999.8749734325042
0.215   -> 5.351694467924077 0.0006253542301125646 1999.8703837327164
0.220   -> 5.4755315631929244 0.0006501034856052338 1999.8657894157227
0.225   -> 5.599332768548373 0.0006748069395708592 1999.86119479726
