name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
0.465   -> 11.478698773619888 0.0005714803019377514 1999.7014533936792
0.470   -> 11.599448640498522 0.0005136611305871818 1999.7001040148255
0.475   -> 11.720114309493157 0.0004524943321790347 1999.6988413256072
0.480   -> 11.840695375729194 0.00038794071224250833 1999.6976643918854
0.485   -> 11.961191475264611 0.00031996423155300946 1999.696572185793
0.490   -> 12.081602285813867 0.00024853208011393386 1999.6955635864456
0.495   -> 12.201927527420708 0.00017361474722870222 1999.6946373806989
0.500   -> 12.32216696307491 9.518608730247698e-05 1999.6937922639593
0.505   -> 12.442320366619454 1.3223303151219302e-05 1999.6930269245643
0.510   -> 12.562387554912089 -7.229481059960222e-05 1999.6923399627303
0.515   -> 12.682368393381667 -0.00016138582330562225 1999.6917298785304
0.520   -> 12.802262797028988 -0.00025406346173096993 1999.691195071504
0.525   -> 12.9220707310358 -0.00035033753624208865 1999.690733841132
0.530   -> 13.041792211263513 -0.0004502138823379235 1999.690344387443
0.535   -> 13.161427304654314 -0.0005536943097947148 1999.690024811703
0.540   -> 13.280976129528867 -0.0006607765594073869 1999.6897731171964
0.545   -> 13.400438855773658 -0.0007714542678451442 1999.6895872101
0.550   -> 13.519815704911604 -0.0008857169411547368 1999.6894649004626
0.555   -> 13.63910695005003 -0.0010035499374151135 1999.6894039032904
0.560   -> 13.758312915700879 -0.001124934459006457 1999.6894018397454
0.565   -> 13.877433977468787 -0.001249847554907713 1999.689456238462
0.570   -> 13.996470561603477 -0.0013782621333805385 1999.6895645369848
0.575   -> 14.115423112720832 -0.0015101556841523734 1999.6897241638912
0.580   -> 14.234292213507329 -0.0016455229226381963 1999.689932793291
0.585   -> 14.353078256719881 -0.0017842990338406547 1999.6901874945945
0.590   -> 14.471781898856102 -0.0019264763045284824 1999.6904859991005
0.595   -> 14.590403627035355 -0.0020719813517353306 1999.6908250351826
0.600   -> 14.708944162612283 -0.002220804330204962 1999.691202397089
0.605   -> 14.827404262841595 -0.002372934025774683 1999.6916158930417
0.610   -> 14.945784719646742 -0.0025283578752670886 1999.6920633449172
0.615   -> 15.064086003951997 -0.0026869007295000436 1999.6925394511939
0.620   -> 15.182308940873394 -0.002848549305524084 1999.6930421471982
0.625   -> 15.300454281353897 -0.0030132017424198076 1999.6935672501659
0.630   -> 15.418522888732625 -0.0031808435542521993 1999.6941127706393
0.635   -> 15.536515579449288 -0.003351359434687744 1999.6946742951575
0.640   -> 15.654433227714504 -0.003524681454646123 1999.695248581182
0.645   -> 15.772276730440804 -0.0037007393302044855 1999.6958323502538
0.650   -> 15.890047005854331 -0.003879460704914227 1999.6964222895297
0.655   -> 16.007744991638596 -0.004060771283675774 1999.697015054465
0.660   -> 16.125371643089775 -0.004244594978920072 1999.6976072714253
0.665   -> 16.242927931259267 -0.004430854057990718 1999.6981955403032
0.670   -> 16.360414841092105 -0.00461946929186315 1999.6987764371352
